2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Henry Street School for International Studies,High School,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,72%,77%,77%,72%,76%,87%,Developing,Developing,Developing,Developing,Developing,"May 1, 2015",2.18,2.06,12.7%,29.8%,1.5%,83.2%,19.0%,66.3%,13.2%,24.4%,56.6%,3.9%,3.0,66.7%,76.6%,56.8%,97.1%
01M448,University Neighborhood High School,High School,304,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,85%,95%,87%,93%,79%,95%,Well Developed,Proficient,Proficient,Well Developed,Proficient,"April 21, 2015",2.27,2.37,19.4%,22.0%,0.3%,81.2%,26.3%,59.9%,29.9%,25.0%,41.1%,3.3%,5.5,69.6%,88.0%,34.7%,97.1%
01M450,East Side Community School,High School,666,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,92%,95%,92%,96%,88%,95%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"May 26, 2015",2.66,2.63,1.8%,23.4%,0.0%,61.0%,5.7%,44.7%,9.4%,22.1%,57.9%,8.3%,13.8,78.4%,93.8%,16.5%,96.1%
01M509,Marta Valle High School,High School,363,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,86%,76%,81%,69%,70%,82%,Developing,Developing,Developing,Developing,Proficient,"January 8, 2015",2.28,2.09,9.1%,28.4%,14.6%,76.7%,14.9%,59.5%,5.8%,39.9%,51.2%,2.5%,1.9,69.0%,76.8%,64.7%,97.1%
01M539,"New Explorations into Science, Technology and Math",High School,1735,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,81%,73%,85%,55%,81%,74%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"February 5, 2015",3.50,3.53,0.2%,4.3%,0.0%,25.7%,2.9%,26.0%,38.5%,13.3%,18.0%,28.6%,9.0,60.2%,95.2%,13.0%,96.7%
01M696,Bard High School Early College,High School,545,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,92%,90%,91%,90%,75%,92%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 15-16, 2014",3.71,3.65,0.0%,1.1%,0.0%,31.4%,2.0%,17.2%,17.1%,17.2%,18.7%,45.3%,4.8,87.9%,95.8%,6.2%,97.6%
02M047,47 The American Sign Language and English Secondar,High School,169,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,79%,88%,85%,75%,73%,88%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"February 12, 2015",2.40,2.24,4.7%,25.4%,8.3%,73.3%,10.7%,59.2%,1.2%,28.4%,64.5%,5.3%,7.0,55.0%,88.1%,45.1%,98.3%
02M135,The Urban Assembly School for Emergency Management,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73%,88%,88%,83%,77%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"May 11, 2015",2.34,2.22,7.3%,19.7%,1.0%,71.3%,12.4%,52.8%,5.7%,28.5%,62.2%,2.6%,2.0,64.7%,88.3%,34.8%,97.2%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85%,95%,82%,92%,75%,94%,Proficient,Proficient,Proficient,Well Developed,Well Developed,"December 19, 2014",2.30,2.27,7.8%,29.5%,1.6%,71.4%,10.4%,57.5%,3.6%,24.9%,61.1%,8.8%,2.0,35.3%,88.1%,40.3%,98.8%
02M280,Manhattan Early College School for Advertising,High School,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86%,92%,89%,94%,79%,94%,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 5, 2015",2.60,2.43,1.0%,22.7%,0.0%,55.8%,6.2%,40.2%,7.2%,32.0%,43.3%,15.5%,1.0,77.8%,93.7%,17.3%,99.1%
