Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
01M292,Henry Street School for International Studies,64,52.4%,6.3%,58,33.3%,5.6%,,,,66,62.1%,31.8%,71,75.6%,53,20.7%,,,,,45,10.0%,55,31.9%,,,410,59.7%,100.0%,406,59.7%,100.0%,381,59.7%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,38,25.0%,27,27.8%,100.0%,71,26.4%,100.0%,53,26.4%,100.0%,26.2%,52.3%,13.1%,16.3%,6.6%,16.3%,4.9%,10.5%,0.0%,3.5%,1.6%,2.3%,0.0%,2.3%,0.0%,0.0%,38.9%,9.3%,56.9%,64.0%,12.5%,11.6%,43.1%,36.0%,33.3%,1.4%,1.4%,0.0%,0.0%,0.0%,0.0%,1.4%,0.0%
01M448,University Neighborhood High School,64,55.0%,4.2%,68,59.8%,19.5%,62,53.3%,22.2%,69,72.2%,41.7%,69,69.4%,67,63.7%,61,40.0%,,,65,54.4%,68,71.4%,85,89.2%,437,69.9%,100.0%,355,69.9%,100.0%,352,69.9%,,13.3%,100.0%,,13.3%,100.0%,,12.0%,,13.3%,30,24.1%,27,28.9%,100.0%,60,28.9%,100.0%,46,28.9%,100.0%,50.7%,59.6%,19.7%,15.7%,16.9%,25.8%,0.0%,11.2%,4.2%,3.4%,1.4%,1.1%,0.0%,0.0%,0.0%,0.0%,22.9%,16.9%,71.1%,59.6%,36.1%,18.0%,42.2%,53.9%,67.5%,27.7%,41.0%,0.0%,0.0%,0.0%,0.0%,65.1%,0.0%
01M450,East Side Community School,,,,,,,,,,75,92.3%,53.8%,,,,,,,,,,,,,,,454,85.2%,100.0%,428,85.2%,100.0%,445,85.2%,19,21.6%,100.0%,19,21.6%,100.0%,20,21.6%,20,21.6%,36,18.2%,29,21.6%,100.0%,,13.6%,100.0%,,13.6%,100.0%,72.2%,76.9%,11.1%,6.4%,14.4%,20.5%,15.6%,19.2%,18.9%,24.4%,10.0%,6.4%,0.0%,0.0%,0.0%,0.0%,58.0%,61.5%,85.2%,85.9%,84.1%,67.9%,61.4%,71.8%,38.6%,0.0%,5.7%,0.0%,0.0%,0.0%,0.0%,9.1%,31.8%
01M509,Marta Valle High School,61,40.7%,2.8%,66,63.2%,7.9%,74,68.4%,42.1%,69,73.8%,45.8%,79,85.7%,63,60.0%,73,86.7%,,,71,72.7%,64,57.0%,91,100.0%,438,35.6%,100.0%,413,35.6%,100.0%,394,35.6%,,4.0%,100.0%,,4.0%,0.0%,,2.0%,,4.0%,33,17.8%,25,19.8%,100.0%,,11.9%,100.0%,,11.9%,100.0%,30.0%,30.1%,10.0%,15.1%,8.3%,8.2%,6.7%,0.0%,1.7%,4.1%,1.7%,1.4%,0.0%,0.0%,0.0%,0.0%,11.9%,8.2%,40.6%,45.2%,14.9%,8.2%,33.7%,35.6%,20.8%,11.9%,2.0%,0.0%,0.0%,0.0%,0.0%,14.9%,0.0%
01M539,"New Explorations into Science, Technology and Math",80,91.5%,53.2%,83,96.8%,68.6%,80,87.8%,58.1%,91,99.5%,97.4%,91,98.7%,87,96.7%,80,93.6%,81,88.7%,,,88,99.2%,89,97.5%,657,91.0%,100.0%,601,91.0%,100.0%,601,91.0%,27,26.2%,100.0%,27,26.2%,100.0%,28,25.4%,26,26.2%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,82.3%,92.7%,4.4%,1.5%,16.8%,27.0%,15.9%,23.4%,24.8%,19.7%,19.5%,20.4%,0.0%,0.0%,0.0%,0.0%,96.7%,94.2%,97.5%,97.8%,98.4%,96.4%,98.4%,98.5%,99.2%,99.2%,81.1%,0.0%,0.0%,0.0%,0.0%,11.5%,0.0%
01M696,Bard High School Early College,73,95.5%,9.1%,,,,,,,92,100.0%,98.4%,84,97.0%,83,95.3%,79,95.3%,,,,,,,,,634,70.8%,100.0%,641,70.8%,100.0%,639,70.8%,27,35.7%,100.0%,29,35.7%,100.0%,26,22.7%,27,35.7%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,95.8%,99.2%,0.7%,0.8%,11.9%,14.6%,14.0%,12.2%,18.9%,21.1%,49.7%,49.6%,0.0%,0.0%,0.0%,0.0%,97.4%,95.9%,97.4%,99.2%,96.1%,95.1%,98.7%,98.4%,100.0%,97.4%,0.6%,0.0%,0.0%,0.6%,0.0%,100.0%,0.0%
02M047,47 The American Sign Language and English Secondar,60,43.1%,0.0%,57,30.9%,0.0%,,,,67,66.1%,33.9%,70,69.0%,57,31.6%,,,45,5.6%,65,56.8%,66,64.6%,80,92.9%,,48.3%,100.0%,,48.3%,100.0%,,48.3%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,17.2%,,17.2%,0.0%,,13.8%,100.0%,,13.8%,100.0%,40.5%,68.9%,4.8%,17.8%,11.9%,26.7%,4.8%,11.1%,2.4%,8.9%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,20.7%,11.1%,48.3%,62.2%,13.8%,13.3%,37.9%,44.4%,65.5%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,65.5%,0.0%
02M135,The Urban Assembly School for Emergency Management,62,45.8%,1.4%,72,81.4%,18.6%,,,,85,97.2%,90.3%,,,71,72.5%,,,,,70,71.2%,75,88.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,60,33.3%,2.9%,52,18.6%,0.0%,,,,,,,56,34.0%,,,,,,,,,66,63.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M280,Manhattan Early College School for Advertising,66,69.0%,3.4%,73,83.3%,22.2%,,,,,,,,,,,,,,,,,77,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
