Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
01M292,Henry Street School for International Studies,Meeting Target,29.2%,52.4%,181.0%,103.0%,163.9%,225.7%,3.28,Approaching Target,29.2%,74.1%,181.0%,110.0%,197.0%,285.2%,2.82,Meeting Target,44.4%,66.7%,175.0%,71.2%,127.5%,184.6%,3.83,Meeting Target,25.0%,64.1%,163.9%,65.3%,116.9%,169.2%,3.90,Exceeding Target,44.4%,66.7%,25.0%,7.3%,13.0%,18.9%,4.69,Exceeding Target,44.4%,66.7%,28.1%,1.4%,2.5%,3.7%,4.99,Approaching Target,54.1%,89.0%,15.2%,11.4%,20.4%,29.5%,2.42,,,,,,,
01M448,University Neighborhood High School,Exceeding Target,51.8%,93.0%,379.1%,103.0%,163.9%,225.7%,4.99,Exceeding Target,21.7%,55.1%,327.8%,110.0%,197.0%,285.2%,4.32,Exceeding Target,55.4%,83.2%,313.0%,71.2%,127.5%,184.6%,4.99,Exceeding Target,15.7%,40.3%,238.5%,65.3%,116.9%,169.2%,4.87,Exceeding Target,55.4%,83.2%,54.3%,7.3%,13.0%,18.9%,4.99,Exceeding Target,55.4%,83.2%,17.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,49.3%,81.1%,42.9%,11.4%,20.4%,29.5%,4.96,,,,,,,
01M450,East Side Community School,N/A,3.4%,6.1%,,103.0%,163.9%,225.7%,,Exceeding Target,25.0%,63.5%,386.4%,110.0%,197.0%,285.2%,4.75,Exceeding Target,21.6%,32.4%,273.7%,71.2%,127.5%,184.6%,4.99,Exceeding Target,13.6%,34.9%,266.7%,65.3%,116.9%,169.2%,4.99,Exceeding Target,21.6%,32.4%,36.8%,7.3%,13.0%,18.9%,4.99,Exceeding Target,21.6%,32.4%,31.6%,1.4%,2.5%,3.7%,4.99,Exceeding Target,17.8%,29.3%,62.5%,11.4%,20.4%,29.5%,4.99,,,,,,,
01M509,Marta Valle High School,N/A,10.9%,19.6%,81.8%,103.0%,163.9%,225.7%,,Not Meeting Target,33.7%,85.5%,89.7%,110.0%,197.0%,285.2%,1.82,Approaching Target,46.5%,69.8%,74.5%,71.2%,127.5%,184.6%,2.06,Not Meeting Target,22.8%,58.5%,65.2%,65.3%,116.9%,169.2%,1.99,Not Meeting Target,46.5%,69.8%,4.3%,7.3%,13.0%,18.9%,1.59,Not Meeting Target,46.5%,69.8%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,46.7%,76.8%,10.7%,11.4%,20.4%,29.5%,1.94,,,,,,,
01M539,"New Explorations into Science, Technology and Math",N/A,0.8%,1.4%,,103.0%,163.9%,225.7%,,N/A,2.5%,6.3%,,110.0%,197.0%,285.2%,,N/A,1.6%,2.4%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,1.6%,2.4%,,7.3%,13.0%,18.9%,,N/A,1.6%,2.4%,,1.4%,2.5%,3.7%,,N/A,0.9%,1.5%,,11.4%,20.4%,29.5%,,,,,,,,
01M696,Bard High School Early College,N/A,0.6%,1.1%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.6%,0.9%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.6%,0.9%,,7.3%,13.0%,18.9%,,N/A,0.6%,0.9%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M047,47 The American Sign Language and English Secondar,N/A,13.8%,24.8%,,103.0%,163.9%,225.7%,,Approaching Target,44.8%,100.0%,161.5%,110.0%,197.0%,285.2%,2.59,Approaching Target,48.3%,72.5%,75.0%,71.2%,127.5%,184.6%,2.07,Approaching Target,17.2%,44.1%,90.0%,65.3%,116.9%,169.2%,2.48,Exceeding Target,48.3%,72.5%,57.1%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,48.3%,72.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,71.4%,100.0%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
02M135,The Urban Assembly School for Emergency Management,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M280,Manhattan Early College School for Advertising,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
