Framework,,Rigorous Instruction,,,,,,,,,,,,,,Collaborative Teachers,,,,,,,,,,,,Supportive Environment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Supportive Environment,,,,,,,,,,,,,,,,,,,,,Effective School Leadership,,,,,,,,,,,Strong Family-Community Ties,,,,,,,,,,,Trust,,,,,,,,,,,,,,,,,
DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive Responses on School Survey,Rigorous Instruction - Percent Positive Responses on School Survey - City Average,Rigorous Instruction - Borough Positive Responses,Percentage of students who say that they learn a lot from feedback on their work,Percentage of students who say that they learn a lot from feedback on their work - City Average,Percentage of students who know what their teacher wants them to learn in class,Percentage of students who know what their teacher wants them to learn in class - City Average,Percentage of teachers who say that students build on each others' ideas during class discussions,Percentage of teachers who say that students build on each others' ideas during class discussions - City Average,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other?,Collaborative Teachers - Percent Positive Responses on School Survey,Collaborative Teachers - Percent Positive Responses on School Survey - City Average,Collaborative Teachers - Borough Positive Responses,Percentage of teachers who say that they work together to design instructional programs,Percentage of teachers who say that they work together to design instructional programs - City Average,Percentage of teachers who say that they have opportunities to work productively with colleagues in their school,Percentage of teachers who say that they have opportunities to work productively with colleagues in their school - City Average,Percentage of teachers who say that they feel responsible that all students learn,Percentage of teachers who say that they feel responsible that all students learn - City Average,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff?,Supportive Environment - Percent Positive Responses on School Survey,Supportive Environment - Percent Positive Responses on School Survey - City Average,Supportive Environment - Borough Positive Responses,"Percentage of students who feel safe in the hallways, bathrooms, locker room, and cafeteria","Percentage of students who feel safe in the hallways, bathrooms, locker room, and cafeteria - City Average",Percentage of students who say that teachers notice when they are upset or having emotional difficulty,Percentage of students who say that teachers notice when they are upset or having emotional difficulty - City Average,Percentage of students who say that this school supports students in navigating the post-secondary process,Percentage of students who say that this school supports students in navigating the post-secondary process - City Average,Metric City Rating - Least Restrictive Environment,Percentage of Enrollment - Least Restrictive Environment,Population Percentage of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Approaching Target For 2015 - Least Restrictive Environment,Meeting Target For 2015 - Least Restrictive Environment,Exceeding Target For 2015 - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Percent Positive Responses on School Survey,Effective School Leadership - Percent Positive Responses on School Survey - City Average,Effective School Leadership - Borough Positive Responses,Percentage of teachers who say that the principal communicates a clear vision for this school,Percentage of teachers who say that the principal communicates a clear vision for this school - City Average,Percentage of teachers who say that curriculum and instruction are well coordinated across different grade levels,Percentage of teachers who say that curriculum and instruction are well coordinated across different grade levels - City Average,Percentage of parents who feel that the principal works to create a sense of community in the school,Percentage of parents who feel that the principal works to create a sense of community in the school - City Average,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - Percent Positive Responses on School Survey - City Average,Strong Family-Community Ties - Borough Positive Responses,Percentage of parents who say that school staff regularly communicate with them about how the staff can help their children learn,Percentage of parents who say that school staff regularly communicate with them about how the staff can help their children learn - City Average,Percentage of parents who feel that teachers try to understand families' problems and concerns,Percentage of parents who feel that teachers try to understand families' problems and concerns - City Average,Percentage of teachers who say that teachers at this school work closely with families to meet students' needs,Percentage of teachers who say that teachers at this school work closely with families to meet students' needs - City Average,Trust Rating,Trust - Element Score,Trust - Percent Positive Responses on School Survey,Trust - Percent Positive Responses on School Survey - City Average,Trust - Borough Positive Responses,Percentage of teachers who say they trust the principal,Percentage of teachers who say they trust the principal - City Average,Percentage of teachers who say that they trust each other,Percentage of teachers who say that they trust each other - City Average,Percentage of parents who say that school staff work hard to build trusting relationships with them,Percentage of parents who say that school staff work hard to build trusting relationships with them - City Average,Percentage of students who say that teachers treat them with respect,Percentage of students who say that teachers treat them with respect - City Average,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Dates Of Review,Quality Review - Principal at Time of Review
01M292,Henry Street School for International Studies,Not Meeting Target,1.84,Developing,Developing,Developing,72%,86%,86%,81%,84%,84%,91%,54%,81%,Approaching Target,2.12,Developing,77%,87%,87%,79%,89%,78%,85%,81%,87%,Approaching Target,2.12,Developing,77%,83%,84%,73%,85%,69%,72%,75%,82%,Exceeding Target,25.40%,86.10%,1.10,0.268,0.473,0.682,4.99,43.2%,Approaching Target,2.52,72%,82%,82%,75%,87%,54%,79%,93%,90%,Approaching Target,2.96,76%,77%,76%,88%,88%,95%,90%,86%,94%,Meeting Target,3.16,87%,89%,89%,79%,84%,89%,87%,92%,90%,79%,84%,73%,100%,29%,"May 1, 2015",Christine Loughlin
01M448,University Neighborhood High School,Meeting Target,3.60,Well Developed,Proficient,Proficient,85%,85%,86%,90%,84%,92%,90%,85%,78%,Meeting Target,3.92,Well Developed,95%,86%,87%,100%,91%,100%,85%,95%,89%,Exceeding Target,4.36,Proficient,87%,83%,84%,91%,84%,75%,71%,86%,82%,Exceeding Target,20.70%,70.20%,0.84,0.268,0.473,0.682,4.50,65.3%,Exceeding Target,4.24,93%,82%,82%,95%,86%,100%,82%,87%,89%,Meeting Target,3.72,79%,75%,76%,92%,88%,92%,90%,100%,91%,Exceeding Target,4.24,95%,89%,89%,100%,82%,95%,87%,93%,91%,88%,86%,83%,84%,32%,"April 21, 2015",Elizabeth Collins
01M450,East Side Community School,Exceeding Target,4.28,Well Developed,Proficient,Well Developed,92%,86%,86%,94%,84%,96%,91%,90%,81%,Exceeding Target,4.76,Well Developed,95%,87%,87%,100%,89%,94%,85%,98%,87%,Exceeding Target,4.56,Well Developed,92%,83%,84%,94%,85%,83%,72%,93%,82%,Not Meeting Target,22.10%,74.90%,0.21,0.268,0.473,0.682,1.78,83.5%,Exceeding Target,4.60,96%,82%,82%,98%,87%,100%,79%,96%,90%,Exceeding Target,4.56,88%,77%,76%,93%,88%,96%,90%,100%,94%,Exceeding Target,4.48,95%,89%,89%,96%,84%,96%,87%,96%,90%,93%,84%,82%,94%,44%,"May 26, 2015",Mark Federman
01M509,Marta Valle High School,Approaching Target,2.48,Developing,Developing,Developing,86%,85%,86%,82%,84%,92%,90%,80%,78%,Approaching Target,2.76,Developing,76%,86%,87%,76%,91%,81%,85%,82%,89%,Approaching Target,2.28,Proficient,81%,83%,84%,84%,84%,73%,71%,73%,82%,Meeting Target,28.10%,95.30%,0.60,0.268,0.473,0.682,3.60,35.3%,Approaching Target,2.08,69%,82%,82%,77%,86%,62%,82%,83%,89%,Approaching Target,2.44,70%,75%,76%,78%,88%,85%,90%,86%,91%,Approaching Target,2.44,82%,89%,89%,76%,82%,73%,87%,85%,91%,85%,86%,62%,92%,27%,"January 8, 2015",Jannett Bailey
01M539,"New Explorations into Science, Technology and Math",Exceeding Target,4.00,Well Developed,Well Developed,Well Developed,81%,87%,86%,76%,84%,91%,91%,77%,82%,Approaching Target,2.52,Well Developed,73%,88%,87%,84%,91%,68%,89%,81%,93%,Meeting Target,3.96,Proficient,85%,83%,84%,93%,88%,64%,71%,84%,80%,Approaching Target,4.30%,14.60%,0.37,0.268,0.473,0.682,2.50,87.0%,Not Meeting Target,1.00,55%,83%,82%,42%,89%,55%,81%,71%,92%,Approaching Target,2.24,81%,85%,76%,85%,92%,87%,93%,94%,96%,Not Meeting Target,1.84,74%,89%,89%,42%,86%,77%,91%,86%,94%,88%,80%,85%,56%,45%,"February 5, 2015",Olga Livanis
01M696,Bard High School Early College,Exceeding Target,4.28,Well Developed,Well Developed,Proficient,92%,85%,86%,86%,84%,91%,90%,92%,78%,Exceeding Target,4.36,Well Developed,90%,86%,87%,100%,91%,86%,85%,90%,89%,Exceeding Target,4.32,Well Developed,91%,83%,84%,99%,84%,58%,71%,92%,82%,Approaching Target,1.30%,4.40%,0.29,0.268,0.473,0.682,2.09,93.8%,Exceeding Target,4.04,90%,82%,82%,97%,86%,86%,82%,95%,89%,Meeting Target,3.00,75%,75%,76%,89%,88%,89%,90%,97%,91%,Meeting Target,3.92,92%,89%,89%,90%,82%,86%,87%,91%,91%,93%,86%,92%,85%,50%,"January 15-16, 2014",Michael Lerner
02M047,47 The American Sign Language and English Secondar,Meeting Target,3.36,Well Developed,Proficient,Proficient,79%,85%,86%,86%,84%,89%,90%,68%,78%,Exceeding Target,4.24,Well Developed,88%,86%,87%,88%,91%,82%,85%,89%,89%,Meeting Target,3.72,Well Developed,85%,83%,84%,92%,84%,71%,71%,82%,82%,Approaching Target,20.70%,70.20%,0.37,0.268,0.473,0.682,2.50,54.9%,Approaching Target,2.52,75%,82%,82%,74%,86%,74%,82%,79%,89%,Approaching Target,2.84,73%,75%,76%,87%,88%,81%,90%,100%,91%,Meeting Target,3.16,88%,89%,89%,88%,82%,88%,87%,89%,91%,82%,86%,82%,95%,29%,"February 12, 2015",Watfa Shama
02M135,The Urban Assembly School for Emergency Management,N/A,,Proficient,Developing,Proficient,73%,85%,86%,87%,84%,92%,90%,71%,78%,N/A,,Proficient,88%,86%,87%,72%,91%,88%,85%,94%,89%,N/A,,Proficient,88%,83%,84%,93%,84%,74%,71%,85%,82%,Meeting Target,18.70%,63.40%,0.53,0.268,0.473,0.682,3.26,65.2%,N/A,,83%,82%,82%,83%,86%,67%,82%,85%,89%,N/A,,77%,75%,76%,93%,88%,93%,90%,94%,91%,N/A,,91%,89%,89%,88%,82%,82%,87%,96%,91%,92%,86%,98%,100%,45%,"May 11, 2015",Rodolfo Elizondo
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,N/A,,Proficient,Proficient,Proficient,85%,85%,86%,80%,84%,89%,90%,63%,78%,N/A,,Well Developed,95%,86%,87%,88%,91%,100%,85%,100%,89%,N/A,,Well Developed,82%,83%,84%,85%,84%,71%,71%,83%,82%,Exceeding Target,22.80%,77.30%,0.82,0.268,0.473,0.682,4.43,59.7%,N/A,,92%,82%,82%,100%,86%,65%,82%,97%,89%,N/A,,75%,75%,76%,93%,88%,92%,90%,94%,91%,N/A,,94%,89%,89%,100%,82%,94%,87%,94%,91%,85%,86%,94%,100%,37%,"December 19, 2014",Larry Gabbard
02M280,Manhattan Early College School for Advertising,N/A,,Proficient,Proficient,Proficient,86%,85%,86%,91%,84%,98%,90%,75%,78%,N/A,,Well Developed,92%,86%,87%,71%,91%,88%,85%,100%,89%,N/A,,Proficient,89%,83%,84%,89%,84%,87%,71%,86%,82%,N/A,20.60%,69.80%,0.30,,,,,82.7%,N/A,,94%,82%,82%,100%,86%,86%,82%,100%,89%,N/A,,79%,75%,76%,98%,88%,96%,90%,86%,91%,N/A,,94%,89%,89%,100%,82%,100%,87%,94%,91%,92%,86%,95%,89%,53%,"May 5, 2015",Matthew Tossman
