,DBN,School Name,total_stud,grad_rate,ELL,Former ELL,Not ELL,Not SWD,SWD,Asian,Black,Hispanic,Multi-Racial,Native American,White,Female,Male,Econ Disadv,Not Econ Disadv,prob_ELL,prob_Former ELL,prob_Not ELL,prob_Not SWD,prob_SWD,prob_Asian,prob_Black,prob_Hispanic,prob_Multi-Racial,prob_Native American,prob_White,prob_Female,prob_Male,prob_Econ Disadv,prob_Not Econ Disadv
0,01M292,Orchard Collegiate Academy,29,0.9655172413793104,1.0,3.0,25.0,21.0,8.0,3.0,6.0,19.0,,,1.0,6.0,23.0,27.0,2.0,0.03,0.1,0.86,0.72,0.28,0.1,0.21,0.66,,,0.03,0.21,0.79,0.93,0.07
1,01M448,University Neighborhood High School,88,0.9318181818181818,1.0,9.0,78.0,75.0,13.0,23.0,19.0,42.0,1.0,1.0,2.0,38.0,50.0,77.0,11.0,0.01,0.1,0.89,0.85,0.15,0.26,0.22,0.48,0.01,0.01,0.02,0.43,0.57,0.88,0.12
2,01M450,East Side Community School,92,0.967391304347826,,1.0,91.0,76.0,16.0,7.0,19.0,52.0,4.0,,10.0,40.0,52.0,62.0,30.0,,0.01,0.99,0.83,0.17,0.08,0.21,0.57,0.04,,0.11,0.43,0.57,0.67,0.33
3,01M458,Forsyth Satellite Academy,73,0.3698630136986301,6.0,4.0,63.0,56.0,17.0,1.0,25.0,41.0,1.0,,5.0,47.0,26.0,65.0,8.0,0.08,0.05,0.86,0.77,0.23,0.01,0.34,0.56,0.01,,0.07,0.64,0.36,0.89,0.11
4,01M509,Marta Valle High School,42,0.6428571428571429,2.0,1.0,39.0,25.0,17.0,2.0,12.0,27.0,,,1.0,20.0,22.0,41.0,1.0,0.05,0.02,0.93,0.6,0.4,0.05,0.29,0.64,,,0.02,0.48,0.52,0.98,0.02
5,01M515,Lower East Side Preparatory High School,226,0.4026548672566372,121.0,19.0,86.0,212.0,14.0,118.0,34.0,66.0,,4.0,4.0,104.0,122.0,128.0,98.0,0.54,0.08,0.38,0.94,0.06,0.52,0.15,0.29,,0.02,0.02,0.46,0.54,0.57,0.43
6,01M539,"New Explorations into Science, Technology and Math High School",131,0.9389312977099237,,6.0,125.0,125.0,6.0,45.0,14.0,28.0,5.0,,39.0,65.0,66.0,62.0,69.0,,0.05,0.95,0.95,0.05,0.34,0.11,0.21,0.04,,0.3,0.5,0.5,0.47,0.53
7,01M650,Cascades High School,103,0.30097087378640774,3.0,2.0,98.0,93.0,10.0,3.0,50.0,48.0,,1.0,1.0,60.0,43.0,89.0,14.0,0.03,0.02,0.95,0.9,0.1,0.03,0.49,0.47,,0.01,0.01,0.58,0.42,0.86,0.14
8,01M696,Bard High School Early College,135,0.9851851851851852,,1.0,134.0,132.0,3.0,25.0,30.0,19.0,2.0,,59.0,86.0,49.0,62.0,73.0,,0.01,0.99,0.98,0.02,0.19,0.22,0.14,0.01,,0.44,0.64,0.36,0.46,0.54
9,02M047,47 The American Sign Language and English Secondary School,35,0.8571428571428571,1.0,1.0,33.0,26.0,9.0,,9.0,23.0,2.0,,1.0,28.0,7.0,30.0,5.0,0.03,0.03,0.94,0.74,0.26,,0.26,0.66,0.06,,0.03,0.8,0.2,0.86,0.14
10,02M135,The Urban Assembly School for Emergency Management,75,0.76,3.0,5.0,67.0,57.0,18.0,7.0,21.0,44.0,2.0,,1.0,37.0,38.0,53.0,22.0,0.04,0.07,0.89,0.76,0.24,0.09,0.28,0.59,0.03,,0.01,0.49,0.51,0.71,0.29
11,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,100,0.78,5.0,2.0,93.0,73.0,27.0,3.0,24.0,67.0,,,6.0,23.0,77.0,84.0,16.0,0.05,0.02,0.93,0.73,0.27,0.03,0.24,0.67,,,0.06,0.23,0.77,0.84,0.16
12,02M280,Manhattan Early College School for Advertising,84,0.9642857142857143,,,84.0,67.0,17.0,4.0,28.0,37.0,1.0,,14.0,44.0,40.0,64.0,20.0,,,1.0,0.8,0.2,0.05,0.33,0.44,0.01,,0.17,0.52,0.48,0.76,0.24
13,02M282,Urban Assembly Maker Academy,93,0.9032258064516129,3.0,1.0,89.0,84.0,9.0,13.0,23.0,40.0,7.0,,10.0,35.0,58.0,69.0,24.0,0.03,0.01,0.96,0.9,0.1,0.14,0.25,0.43,0.08,,0.11,0.38,0.62,0.74,0.26
14,02M288,Food and Finance High School,84,0.8452380952380952,1.0,6.0,77.0,68.0,16.0,1.0,39.0,43.0,,,1.0,42.0,42.0,69.0,15.0,0.01,0.07,0.92,0.81,0.19,0.01,0.46,0.51,,,0.01,0.5,0.5,0.82,0.18
15,02M294,Essex Street Academy,85,0.8823529411764706,3.0,3.0,79.0,67.0,18.0,5.0,35.0,37.0,5.0,,3.0,41.0,44.0,53.0,32.0,0.04,0.04,0.93,0.79,0.21,0.06,0.41,0.44,0.06,,0.04,0.48,0.52,0.62,0.38
16,02M296,High School of Hospitality Management,81,0.8148148148148148,6.0,7.0,68.0,66.0,15.0,4.0,23.0,49.0,1.0,1.0,3.0,67.0,14.0,75.0,6.0,0.07,0.09,0.84,0.81,0.19,0.05,0.28,0.6,0.01,0.01,0.04,0.83,0.17,0.93,0.07
